Text Content,Predicted Intensity
"Frustration welled up within her, boiling over into a torrent of anger. The clenched fists and furrowed brow betrayed the intensity of her emotions as harsh words erupted like a storm, leaving a tense atmosphere in their wake.",angriness
"In the quiet solitude of the dimly lit room, she clutched an old photograph, tears streaming down her face as she reminisced about a lost friendship.",sadness
"Surrounded by loved ones, the laughter and joy at the birthday party echoed in the air, creating a warm and uplifting atmosphere.",happiness
"The slammed door echoed through the house, a resounding punctuation to a heated argument. The seething anger lingered in the air, leaving both parties in an uneasy silence, grappling with the aftermath of emotions unleashed.",angriness
"Sunlight streamed through the window, casting a warm glow on the family gathered around the table. Smiles exchanged during a shared meal created a tapestry of happiness, bonding them together in a moment of simple, yet profound, familial bliss.",happiness
"A contagious joy radiated from his infectious smile, illuminating the room with warmth.",happiness
"The air crackled with tension as his face reddened, betraying the escalating anger within. Sharp words and accusations flew like daggers, leaving behind a bitter residue that lingered in the strained silence, a testament to the intensity of the emotional tempest.",angriness
" In the dimly lit room, a solitary figure sat hunched over, shoulders weighed down by the burden of grief. Silent tears traced a delicate path down worn cheeks, a poignant expression of the profound sadness that cast a shadow over the once-lively space.",sadness
"Fists clenched, she paced the room, the rapid tapping of her foot mirroring the fiery frustration burning within. The harsh words exchanged reverberated in the charged air, leaving a bitter taste of resentment that hung heavily between them.",happiness
" A surprise birthday party unfolded, complete with confetti, balloons, and the contagious joy of celebration. Faces lit up with delight, and the air buzzed with the harmonious symphony of well-wishes, creating an atmosphere saturated with the happiness of shared love and camaraderie.",happiness
"The gray clouds mirrored the heaviness in her heart as she stood alone in the rain. Each raindrop seemed to echo the rhythm of her sorrow, providing a somber backdrop to the emotional storm within, a silent manifestation of a world painted in shades of sadness.",sadness
